clip_filename,true,class,S,mu_train,sigma_train,Z,pred_calibrated
1_vBCN7D6Tw_29_39.wav,V6,V6,0.9343381524085999,0.9021455347537994,0.11851058048137818,0.27164340537391013,inline-6
1_vBCN7D6Tw_29_39.wav,V6,V8,0.9272010326385498,0.8839512297085353,0.09698742899610638,0.4459320489024485,inline-6
1_vBCN7D6Tw_29_39.wav,V6,inline-4,0.9464108347892761,0.8774213542540868,0.14316579181627107,0.4818852301234469,inline-6
1_vBCN7D6Tw_29_39.wav,V6,inline-6,0.9163731932640076,0.8355164315019336,0.1490218882127996,0.5425831247461618,inline-6
1_vBCN7D6Tw_29_39.wav,V6,single-cylinder,0.9253889918327332,0.8928431330657587,0.10703693341497987,0.3040619506614122,inline-6
-h_Jo-4R1qw_20_30.wav,V6,V6,0.8973723649978638,0.9021455347537994,0.11851058048137818,-0.040276317410205306,inline-6
-h_Jo-4R1qw_20_30.wav,V6,V8,0.908964991569519,0.8839512297085353,0.09698742899610638,0.2579072578775945,inline-6
-h_Jo-4R1qw_20_30.wav,V6,inline-4,0.9202239513397217,0.8774213542540868,0.14316579181627107,0.29897223731046507,inline-6
-h_Jo-4R1qw_20_30.wav,V6,inline-6,0.8938349485397339,0.8355164315019336,0.1490218882127996,0.39134195477729367,inline-6
-h_Jo-4R1qw_20_30.wav,V6,single-cylinder,0.8532955050468445,0.8928431330657587,0.10703693341497987,-0.3694764672077152,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,V6,0.7953174114227295,0.9021455347537994,0.11851058048137818,-0.901422665361563,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,V8,0.8048034310340881,0.8839512297085353,0.09698742899610638,-0.8160624474087734,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-4,0.7793518900871277,0.8774213542540868,0.14316579181627107,-0.685006263876322,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-6,0.7955560088157654,0.8355164315019336,0.1490218882127996,-0.26815136464453915,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,single-cylinder,0.7814054489135742,0.8928431330657587,0.10703693341497987,-1.0411143200463617,inline-6
490glKBS92E_4_14.wav,single-cylinder,V6,0.9093631505966187,0.9021455347537994,0.11851058048137818,0.060902712766252406,single-cylinder
490glKBS92E_4_14.wav,single-cylinder,V8,0.8975188136100769,0.8839512297085353,0.09698742899610638,0.13989012846279528,single-cylinder
490glKBS92E_4_14.wav,single-cylinder,inline-4,0.8211678266525269,0.8774213542540868,0.14316579181627107,-0.3929257603223529,single-cylinder
490glKBS92E_4_14.wav,single-cylinder,inline-6,0.8636500239372253,0.8355164315019336,0.1490218882127996,0.18878832346505842,single-cylinder
490glKBS92E_4_14.wav,single-cylinder,single-cylinder,0.9178207516670227,0.8928431330657587,0.10703693341497987,0.23335514017788916,single-cylinder
1llNz7oLjM8_11_21.wav,inline-4,V6,0.9896970987319946,0.9021455347537994,0.11851058048137818,0.738765801522273,V8
1llNz7oLjM8_11_21.wav,inline-4,V8,0.9912927746772766,0.8839512297085353,0.09698742899610638,1.10675729916555,V8
