engine_configuration,bootstrap,theta_max_deg,r_ref,r_used,n_train_clips,n_sampled_clips,n_frames_sampled
inline-4,0,7.049625873565674,4,4,42,29,1450
inline-4,1,7.753093242645264,4,4,42,29,1450
inline-4,2,5.238542556762695,4,4,42,29,1450
inline-4,3,5.3558783531188965,4,4,42,29,1450
inline-4,4,13.092964172363281,4,4,42,29,1450
inline-4,5,6.178854942321777,4,4,42,29,1450
inline-4,6,10.123740196228027,4,4,42,29,1450
inline-4,7,5.975369453430176,4,4,42,29,1450
inline-4,8,3.9404430389404297,4,4,42,29,1450
inline-4,9,8.609457969665527,4,4,42,29,1450
inline-4,10,11.588776588439941,4,4,42,29,1450
inline-4,11,8.031941413879395,4,4,42,29,1450
inline-4,12,15.082472801208496,4,4,42,29,1450
inline-4,13,8.054566383361816,4,4,42,29,1450
inline-4,14,9.254337310791016,4,4,42,29,1450
inline-4,15,6.602865219116211,4,4,42,29,1450
inline-4,16,4.672231197357178,4,4,42,29,1450
inline-4,17,6.837817668914795,4,4,42,29,1450
inline-4,18,6.744564056396484,4,4,42,29,1450
inline-4,19,12.222145080566406,4,4,42,29,1450
inline-4,20,10.962714195251465,4,4,42,29,1450
inline-4,21,5.237682342529297,4,4,42,29,1450
inline-4,22,7.794172763824463,4,4,42,29,1450
inline-4,23,9.203317642211914,4,4,42,29,1450
inline-4,24,7.094948768615723,4,4,42,29,1450
inline-4,25,7.076676845550537,4,4,42,29,1450
inline-4,26,4.852764129638672,4,4,42,29,1450
inline-4,27,39.47013854980469,4,3,42,29,1450
inline-4,28,5.845093727111816,4,4,42,29,1450
inline-4,29,6.688413143157959,4,4,42,29,1450
inline-4,30,3.9783289432525635,4,4,42,29,1450
inline-4,31,26.347557067871094,4,4,42,29,1450
inline-4,32,7.362205982208252,4,4,42,29,1450
inline-4,33,5.532259464263916,4,4,42,29,1450
inline-4,34,16.264183044433594,4,4,42,29,1450
inline-4,35,14.435178756713867,4,4,42,29,1450
inline-4,36,11.152083396911621,4,4,42,29,1450
inline-4,37,10.203726768493652,4,4,42,29,1450
inline-4,38,8.684530258178711,4,4,42,29,1450
inline-4,39,11.03895378112793,4,4,42,29,1450
inline-4,40,8.113167762756348,4,4,42,29,1450
inline-4,41,5.718442440032959,4,4,42,29,1450
inline-4,42,11.990017890930176,4,4,42,29,1450
inline-4,43,7.479553699493408,4,4,42,29,1450
inline-4,44,7.748282432556152,4,4,42,29,1450
inline-4,45,6.365779876708984,4,4,42,29,1450
inline-4,46,6.238221645355225,4,4,42,29,1450
inline-4,47,11.365188598632812,4,4,42,29,1450
inline-4,48,20.670352935791016,4,4,42,29,1450
inline-4,49,20.715206146240234,4,4,42,29,1450
inline-4,50,15.066781997680664,4,4,42,29,1450
inline-4,51,9.20092487335205,4,4,42,29,1450
inline-4,52,12.079267501831055,4,4,42,29,1450
inline-4,53,11.999730110168457,4,4,42,29,1450
inline-4,54,9.312766075134277,4,4,42,29,1450
inline-4,55,4.594654560089111,4,4,42,29,1450
inline-4,56,4.437869548797607,4,4,42,29,1450
inline-4,57,7.9003777503967285,4,4,42,29,1450
inline-4,58,16.97015953063965,4,4,42,29,1450
inline-4,59,5.809067726135254,4,4,42,29,1450
inline-4,60,10.077258110046387,4,4,42,29,1450
inline-4,61,5.15468692779541,4,4,42,29,1450
inline-4,62,11.541881561279297,4,4,42,29,1450
inline-4,63,7.485506057739258,4,4,42,29,1450
inline-4,64,8.917070388793945,4,4,42,29,1450
inline-4,65,7.278717994689941,4,4,42,29,1450
inline-4,66,4.263286113739014,4,4,42,29,1450
inline-4,67,6.0238237380981445,4,4,42,29,1450
inline-4,68,8.416082382202148,4,4,42,29,1450
inline-4,69,11.150988578796387,4,4,42,29,1450
inline-4,70,10.150768280029297,4,4,42,29,1450
inline-4,71,7.0539374351501465,4,4,42,29,1450
inline-4,72,8.022820472717285,4,4,42,29,1450
inline-4,73,8.318193435668945,4,4,42,29,1450
inline-4,74,15.218369483947754,4,4,42,29,1450
inline-4,75,7.682065486907959,4,4,42,29,1450
inline-4,76,8.204179763793945,4,4,42,29,1450
inline-4,77,32.9156608581543,4,3,42,29,1450
inline-4,78,7.571496486663818,4,4,42,29,1450
inline-4,79,8.001012802124023,4,4,42,29,1450
inline-4,80,8.734350204467773,4,4,42,29,1450
inline-4,81,24.172344207763672,4,4,42,29,1450
inline-4,82,6.754385471343994,4,4,42,29,1450
inline-4,83,8.621950149536133,4,4,42,29,1450
inline-4,84,4.1211748123168945,4,4,42,29,1450
inline-4,85,5.2532219886779785,4,4,42,29,1450
inline-4,86,7.6133952140808105,4,4,42,29,1450
inline-4,87,9.632719039916992,4,4,42,29,1450
inline-4,88,6.708702564239502,4,4,42,29,1450
inline-4,89,10.883306503295898,4,4,42,29,1450
inline-4,90,8.704817771911621,4,4,42,29,1450
inline-4,91,5.155560493469238,4,4,42,29,1450
inline-4,92,15.455583572387695,4,4,42,29,1450
inline-4,93,9.967859268188477,4,4,42,29,1450
inline-4,94,10.522313117980957,4,4,42,29,1450
inline-4,95,6.983704566955566,4,4,42,29,1450
inline-4,96,41.72294998168945,4,3,42,29,1450
inline-4,97,5.143727779388428,4,4,42,29,1450
inline-4,98,12.42494010925293,4,4,42,29,1450
inline-4,99,11.690591812133789,4,4,42,29,1450
V8,0,11.275554656982422,3,3,42,29,1450
V8,1,7.606045246124268,3,3,42,29,1450
V8,2,14.058926582336426,3,3,42,29,1450
V8,3,4.980629920959473,3,3,42,29,1450
V8,4,14.296338081359863,3,3,42,29,1450
V8,5,10.509664535522461,3,3,42,29,1450
V8,6,6.863842010498047,3,3,42,29,1450
V8,7,10.385176658630371,3,3,42,29,1450
V8,8,17.430238723754883,3,3,42,29,1450
V8,9,14.08377456665039,3,3,42,29,1450
V8,10,5.322296142578125,3,3,42,29,1450
V8,11,16.907541275024414,3,3,42,29,1450
V8,12,14.859652519226074,3,3,42,29,1450
V8,13,12.64234447479248,3,3,42,29,1450
V8,14,8.025853157043457,3,3,42,29,1450
V8,15,14.682089805603027,3,3,42,29,1450
V8,16,6.883901596069336,3,3,42,29,1450
V8,17,16.323755264282227,3,3,42,29,1450
V8,18,16.496414184570312,3,3,42,29,1450
V8,19,12.799002647399902,3,3,42,29,1450
V8,20,27.363691329956055,3,3,42,29,1450
V8,21,7.289787769317627,3,3,42,29,1450
V8,22,20.723140716552734,3,3,42,29,1450
V8,23,20.28314208984375,3,3,42,29,1450
V8,24,29.80142593383789,3,3,42,29,1450
V8,25,12.219579696655273,3,3,42,29,1450
V8,26,9.775674819946289,3,3,42,29,1450
V8,27,18.178197860717773,3,3,42,29,1450
V8,28,53.863990783691406,3,3,42,29,1450
V8,29,5.0345048904418945,3,3,42,29,1450
V8,30,11.880301475524902,3,3,42,29,1450
V8,31,11.165953636169434,3,3,42,29,1450
V8,32,28.629398345947266,3,3,42,29,1450
V8,33,6.454184055328369,3,3,42,29,1450
V8,34,3.909710645675659,3,3,42,29,1450
V8,35,14.019649505615234,3,3,42,29,1450
V8,36,12.756075859069824,3,3,42,29,1450
V8,37,17.20360565185547,3,3,42,29,1450
V8,38,8.41678237915039,3,3,42,29,1450
V8,39,12.679179191589355,3,3,42,29,1450
V8,40,7.741033554077148,3,3,42,29,1450
V8,41,12.358785629272461,3,3,42,29,1450
V8,42,15.866865158081055,3,3,42,29,1450
V8,43,8.590959548950195,3,3,42,29,1450
V8,44,13.281922340393066,3,3,42,29,1450
V8,45,4.678725242614746,3,3,42,29,1450
V8,46,25.255558013916016,3,3,42,29,1450
V8,47,28.741458892822266,3,3,42,29,1450
V8,48,8.852970123291016,3,3,42,29,1450
V8,49,5.469415187835693,3,3,42,29,1450
V8,50,4.482268810272217,3,3,42,29,1450
V8,51,5.2311692237854,3,3,42,29,1450
V8,52,12.772738456726074,3,3,42,29,1450
V8,53,16.347213745117188,3,3,42,29,1450
V8,54,9.901548385620117,3,3,42,29,1450
V8,55,23.069660186767578,3,3,42,29,1450
V8,56,9.204021453857422,3,3,42,29,1450
V8,57,12.198004722595215,3,3,42,29,1450
V8,58,5.513879299163818,3,3,42,29,1450
V8,59,16.646696090698242,3,3,42,29,1450
V8,60,15.758657455444336,3,3,42,29,1450
V8,61,8.166929244995117,3,3,42,29,1450
V8,62,21.52724266052246,3,3,42,29,1450
V8,63,31.93484878540039,3,3,42,29,1450
V8,64,7.1024932861328125,3,3,42,29,1450
V8,65,13.488235473632812,3,3,42,29,1450
V8,66,12.629340171813965,3,3,42,29,1450
V8,67,9.561659812927246,3,3,42,29,1450
V8,68,7.83130407333374,3,3,42,29,1450
V8,69,21.184410095214844,3,3,42,29,1450
V8,70,5.292983055114746,3,3,42,29,1450
V8,71,14.077205657958984,3,3,42,29,1450
V8,72,33.86924362182617,3,3,42,29,1450
V8,73,22.042341232299805,3,3,42,29,1450
V8,74,5.690854072570801,3,3,42,29,1450
V8,75,6.099693298339844,3,3,42,29,1450
V8,76,11.915287017822266,3,3,42,29,1450
V8,77,16.114517211914062,3,3,42,29,1450
V8,78,12.354971885681152,3,3,42,29,1450
V8,79,12.441943168640137,3,3,42,29,1450
V8,80,32.0142707824707,3,3,42,29,1450
V8,81,11.476241111755371,3,3,42,29,1450
V8,82,15.278995513916016,3,3,42,29,1450
V8,83,7.0560784339904785,3,3,42,29,1450
V8,84,10.261687278747559,3,3,42,29,1450
V8,85,12.311546325683594,3,3,42,29,1450
V8,86,12.316014289855957,3,3,42,29,1450
V8,87,14.131790161132812,3,3,42,29,1450
V8,88,10.660862922668457,3,3,42,29,1450
V8,89,11.020193099975586,3,3,42,29,1450
V8,90,8.531451225280762,3,3,42,29,1450
V8,91,9.596569061279297,3,3,42,29,1450
V8,92,6.702707290649414,3,3,42,29,1450
V8,93,8.482717514038086,3,3,42,29,1450
V8,94,17.66423797607422,3,3,42,29,1450
V8,95,5.936070442199707,3,3,42,29,1450
V8,96,9.483920097351074,3,3,42,29,1450
V8,97,9.896502494812012,3,3,42,29,1450
V8,98,13.588603019714355,3,3,42,29,1450
V8,99,8.482439994812012,3,3,42,29,1450
inline-6,0,8.84157943725586,3,3,42,29,1450
inline-6,1,15.02781867980957,3,3,42,29,1450
inline-6,2,17.18869400024414,3,3,42,29,1450
inline-6,3,8.007217407226562,3,3,42,29,1450
inline-6,4,9.217974662780762,3,3,42,29,1450
inline-6,5,8.42219352722168,3,3,42,29,1450
inline-6,6,27.61627769470215,3,3,42,29,1450
inline-6,7,9.608320236206055,3,3,42,29,1450
inline-6,8,9.43775463104248,3,3,42,29,1450
inline-6,9,5.207668304443359,3,3,42,29,1450
inline-6,10,6.583710670471191,3,3,42,29,1450
inline-6,11,7.297023773193359,3,3,42,29,1450
