filename,title,description,brand,model,engine_type,engine_configuration,vehicle_type,fuel_type,engine_state,turbo_supercharged,is_car
--330hg-Ocw_30_40.wav,Peugeot 306 1.9L Diesel L-Reg Engine Cold Start No Plugs,"Car has been sat for 4 days. Starting without using the glow plugs at all, just to see if it will start.

Seemed to start as soon as I gave it a little gas, don't know if it was going to start anyway without it. Ill do another one another day to see if it does :-)

Yes I know the tacho doesnt work.

It was about 10*c outside at the time.",Peugeot,306,none,inline-4,sedan,diesel,cold start,none,yes
--8puiAGLhs_30_40.wav,Honda CR-V 2000 Engine Crank but won't start,"Hello I'm need of help can't get my CR-V started have changed new battery, fuel pump, fuel filter, distributor can't figure out how to get it running. Please comment your help will be most appreciated Thank You",Honda,CR-V,B20B,inline-4,SUV,gasoline,off,no,yes
--Dxk606LRQ_30_40.wav,BMW E30 Turbo with Toyota 1J Engine 4 Ehab Hamodah with Smart Performance,Äħḿếð ĦÄḿoðÄħ,BMW,E30,1JZ,inline-6,sedan,gasoline,none,yes,yes
--jGnLqFsQ4_24_34.wav,WRECKING 2009 SUZUKI SWIFT ENGINE 1.6 (J14647),"EBAY STORE: http://bit.ly/EBAYSTOREJJ

CALL: 02-9724-8099
EMAIL: sales@jjautoparts.com.au
WEBSITE: http://www.jjautoparts.com.au
CONTACT US TO ORDER PARTS OR FOR MORE INQUIRIES

We are currently wrecking this car. Contact us now to order your parts!

STORE ADDRESS: 70 Hume Highway Lansvale NSW 2166

WE HAVE THOUSANDS OF QUALITY USED PARTS AVAILABLE FOR ALL MAKES & MODELS. WE CAN SHIP PARTS TO ANYWHERE IN AUSTRALIA AND OFFER WARRANTY THAT YOU'VE NEVER SEEN FROM OTHER AUTO PARTS RECYCLERS OUT THERE.

PARTS WE ARE DISMANTLING: A/C Compressor | A/C Condenser | A/C Evaporator | ABS Pump | Air Bag | Air Cleaner/Box | Air Condensor | Air Flow Meter | Air Resonator | Air Bag Module/Sensor | Alternator | Antenna | Axle | Bar Flasher | Battery | Bonnet | Bonnet Hinge/Strut | Bonnet Lock/Support | Boost Controller | Bull Bar | Bumper Bars | Bumper Bracket | Bumper Iron | Bumper Reinforcement | Cargo Barrier | Canopy | Centre Console | Coil Pack | Combination Switch | Complete Interior | Control/Trail Arm | Corner Light | Courtesy Light | Cylinder Heads | Diffs / Diff Centre | Distributor | Door | Door Mirror | Door Switch | Door Window | Door/Bootlid/Tailgate Lock | Driveshaft | ECU | Energy Abosorber | Engine | Exhaust System | Fan | Flywheel/Flexplate | Foglight/Spotlight | Front Bumper | Front Diff Assembly | Front Panel | Front Seat | Front Tail/Prop Shaft | Front Crossmember/Cradle | Fuse Box | Gearbox/Transmission | Grille | Guard/Fender | Guard/Fender Liner | Headlight | Heater Core Box | Heater Fan Motor | Heater/AC Control | Hubs | Ignition W/ Key | Instrument Cluster | Intercooler | Lowered King Spring | LPS Conversion | Manifold | Muffler | Nudge Bar | Overflow Bottle | Owner's Handbook/Manual | Parcel Shelf | Power Winch | Power Door Window Switch/Master Switch | Radiator | Radiator Support | Radio/Sat Navigation Unit | Rear Bumper | Rear Diff Assembly | Rear Garnish | Rear Tail/Prop Shaft | Rear Tray | Roof Glass/Sunroof | Roof Racks | Seat Belt | Seats | Shock Absorber | Side Steps | Slotted Rotor | Snorkels | Spare Wheel Carrier | Spare Wheel Cover | Spoiler | Sports Bar/Roll Bar | Starter Motor | Steering Wheel | Stiffner | Strut | Strut Brace | Sunvisor | Suspension | Tailgate | Taillight | Throttle Body | Tonneau Cover | Towbar | UTE Back | UTE Lid | UTE Tray Liner | Washer Bottle | Wheel Mag - Alloy | Wheel Standard - Steel | Window Regulator/Motor | Wiper Motor | Wiper Switch

We are a car wrecker, car dismantler, car breaker, used auto parts dealer, used auto parts seller, car recycler, auto recycler and have the largest single site car salvage yard, car wrecking yard, auto recycling yard, car recylcling yard based in Sydney. We can ship parts to any locations in Australia. Sydney, New South Wales (NSW), Canberra, Melbourne, Victoria (VIC), Brisbane, Queensland (QLD), Cairns, Adelaide, South Australia (SA), Perth, Western Australia (WA).",Suzuki,Swift,1.6,inline-4,hatchback,gasoline,off,no,yes
--kcclzNEZQ_30_40.wav,2009 SCSU FSAE engine first start.,2009 SCSU FSAE engine running for the first time! Yamaha Phazer on microsquirt.,Yamaha,Phazer,none,inline-2,FSAE race car,gasoline,running,no,yes
-0HsrVfb5vc_20_30.wav,F 974 vs k 957,"Top evo 8
Form mauritius",Mitsubishi,Lancer Evolution VIII,4G63,inline-4,"JDM, sports sedan",gasoline,none,yes,yes
-0J9HfwJ08c_30_40.wav,2010 FLTRX Road Glide Custom Jims 131ci Engine,,Harley-Davidson,Road Glide Custom FLTRX,Jims 131ci Engine,V-twin,motorcycle,gasoline,none,no,no
-0d6GOvAoS0_0_10.wav,Off road in a mini van,This video was uploaded from an Android phone.,none,none,none,none,minivan,none,none,none,yes
-0pZsnG1MAI_30_40.wav,Engine explosion @ Great Lakes Dragaway.,Blown hot rod lights it up at half track @ Great Lakes Dragaway.,none,none,none,none,hot rod,gasoline,accelerating,none,yes
-1O8bucXb5E_30_40.wav,Crf50 pit bike lifan 125cc engine,A quick glance of my pit bike it has a 125cc lifan manual clutch 1 down 3 up. Im really liking this motor easy to maintain give you the power when you need it.,Honda,CRF50,Lifan 125cc,single-cylinder,pit bike,gasoline,running,no,no
-1guPbH2s3Y_27_37.wav,Ransome & May (1850) Mill Engine - Hemingway kits,"This video shows a recently completed (2011) 1/12th scale model of a Ransome & May Mill Engine.  Drawings and material kits are available from www.hemingwaykits.com for machining in your home workshop.

Geoffrey King, a professional Engineer and member of the Newcomen Society, designed this 1/12th scale replica in 1958 from an example which was in service until 1921. With a bore x stroke of ¾"" x 1½"", the engine has a double acting slide valve with 4 bar guides, a marine type big-end, an eccentric driven feed pump, a hand cranked stop valve and a Watts type governor, driven by ordinary chain running in grooved pulleys. Under steam the engine is a delight, especially with its governor weighted for slow running. The engine sits on a bedplate measuring 9 1/8"" x 2 ¼"" with a flywheel diameter of 7"".",Ransome & May,Mill Engine,none,none,stationary engine,steam,running,no,no
-26ZR9AGm7k_30_40.wav,A321 for X-Plane Engine Start Up,First experiments with a custom sound system for the upcoming A321 for X-Plane® by Peters Aircraft,Airbus,A321,none,none,aircraft,jet fuel,running,none,no
-2GC25ao1Og_30_40.wav,2.5 TDI R5 - pump belt tensioner after cold engine start,,Volkswagen,none,2.5 TDI R5,inline-5,none,diesel,running,yes,yes
-2McDjUrwKQ_2_12.wav,Lister D Type Horizontal Crankshaft Stationary Engine,Lister D Type Horizontal Crankshaft Stationary Engine. Thank you for watching!,Lister,D Type,D Type,horizontal single cylinder,stationary engine,none,none,no,no
-2f4hOfiX3w_30_40.wav,Corsa c engine noise ticking,This is on a 04 1.0 12v. A mechanic has said it could be blocked injectors.... But most on here think it's timing chain issues..... anybody any ideas?,Vauxhall,Corsa C,Z10XE / Z10XEP,inline-3,subcompact car,gasoline,running,no,yes
-2v9WVGdBb0_16_26.wav,1997 Saturn SL2 Engine Problems,"Replaced a bunch of things on it. First off it has had a little exhaust leak for a long while. this sputtering seemed to start on the ride after rinsing the motor off after changing the thermostat. So far we have replaced the following
Fuel Filter
Injectors
Fuel pressure Regulator
Vacuum Lines
Camshaft position sensor
Spark plugs
Wires
Coil pack

I seem to think its a sensor or electrical problem, it runs fine you could say for a few seconds until the check engine light comes on then it start sputtering real bad",Saturn,SL2,none,inline-4,sedan,gasoline,running,no,yes
-38FOBoZ3-E_0_10.wav,1998 Audi V6 2.8 5V idle running with valve noise,My 1998 Audi V6 2.8 5V running idle with lots of noise coming from the valve cover driver side front part of the engine. This is NOT how it is supposed to sound! Maybe chain tensioner fault?,Audi,none,2.8 5V,V6,none,gasoline,idle,no,yes
-3FEUzOy2rk_18_28.wav,#5 Porsche Cayenne Rebuilt Engine Completed! Motor Meister,#5 Porsche Cayenne Rebuilt Engine Completed! Motor Meister,Porsche,Cayenne,none,V6,SUV,gasoline,none,none,yes
-3OLyc_NtJY_7_17.wav,"Dual Cylinder, Oscillator, Model Steam Engine 1","Dual Cylinder, Oscillator, Model Steam Engine 1
NAMES 2006
North American Model Engineering Society
North American Model Engineering Exposition",none,none,Oscillator,dual cylinder,model steam engine,steam,none,no,no
-3_Z64k3tXE_19_29.wav,Ls Derby engine first start,,none,none,LS,V8,derby car,gasoline,running,none,yes
-3d2F1GLG3w_30_40.wav,"BMW E39 M5 running engine 72,000 miles @ Quarry Motors Sheffield","BMW E39 M5 running engine 72,000 miles @ Quarry Motors Sheffield",BMW,M5,S62B50,V8,sedan,gasoline,running,no,yes
-4-Ul3BRc14_10_20.wav,BMW 850CSi Engine,BMW 850CSi Engine,BMW,850CSi,S70B56,V12,coupe,gasoline,none,no,yes
-4SrR_lfLZ8_4_14.wav,MK4 R36 Buildup with 3.6 FSI engine Throttle Body,MK4 R36 Buildup with 3.6 FSI engine Throttle Body testing,Volkswagen,Golf MK4,3.6 FSI,VR6,hatchback,gasoline,none,no,yes
-4Y-xf4Dm3I_30_40.wav,International Harverster LB 3 - 5HP stationary engine,Demarrage  Cranking,International Harvester,LB,LB 3-5HP,single-cylinder,stationary engine,gasoline,running,no,no
-4jzVhwjXVc_30_40.wav,1997 Mustang Cobra Engine Rev,"Just revving the engine a little. '98 Cobra engine swap, Lots of bolt on's, UPR Catted X-Pipe, Mac Pro 3"" Dump Exhaust Kit, etc etc.",Ford,Mustang Cobra,Modular 4.6L DOHC V8,V8,muscle car,gasoline,revving,no,yes
-4tjMLqfFb0_30_40.wav,Alpha stirling engine 55 cm3 - first run,"This is the first run of my stirling engine. Naturally i must development it because actually run too slowly and the pipe of silicon between the two cilinder is inappropriate.
The engine is an alpha configuration, at atmospherical pressure, 55 cm3 for each cylinder.

Thank you for watching.",none,none,stirling engine,alpha configuration,none,none,running,no,no
-51k6F_4rls_10_20.wav,Allen scythe villiers engine cut out governor.,Just a small video showing how the governor works on a villiers two stroke engine.,Allen,Scythe,Villiers,none,agricultural machinery,gasoline,running,no,no
-569X-d9l_s_50_60.wav,Astra coupe Turbo Rolling Road,"My Astra coupe Turbo on rolling road ( MPG Middlewich )

Spec:-
-2.5""  Cobra Pre-cat 
-2.5"" powerflow cat-back exhaust
-57mm Front mount intercooler
-57mm Solid boost pipes
-Baileys DV26 Twin Piston Dump Valve 
-PiperX Panel Filter
-Vectra CDTI Airscoop and de-restricted airbox. 
-Standard Map 

Made 195.5bhp and 196.9ft lbs torque.",Vauxhall,Astra Coupe,none,inline-4,coupe,gasoline,running,yes,yes
-5GhyWiIDEE_14_24.wav,stock car engine,imca stock,none,stock car,none,V8,stock car,gasoline,none,no,yes
-5XCVpv6FAc_14_24.wav,One Lung Gas Engine Old and Vintage,Having fun with friends....,none,none,none,single-cylinder,stationary engine,gasoline,none,no,no
-5upZpZmlr0_19_29.wav,87 GTA Trans Am L98 Corvette engine,"5.7L Corvette engine in my 1987 GTA Trans Am. The noise of the engine overpowered my shitty phone speaker so there is almost no sound but take my word, the car is ridiculously loud.",Pontiac,Trans Am GTA,L98,V8,muscle car,gasoline,running,no,yes
-6EfENcd5xQ_13_23.wav,1960s BOND MINICAR ENGINE BAY RUNNING,"A video of a 1960s Bond Minicar engine bay, with engine running",Bond,Minicar,none,single-cylinder,microcar,gasoline,running,no,yes
-6nsM_mOHUM_30_40.wav,2001 Ford Ranger XLT V6 4.0Liter Engine Cut Exhaust,"Start up, rev, shut off",Ford,Ranger XLT,Cologne V6,V6,truck,gasoline,revving,no,no
-6tNjMOSf4M_10_20.wav,Första starten av V8:an BMW S65B40,Motorn får lite gångtid efter första uppstarten. Har precis nollat tändningen och kamaxlarna. Full vanos styrning med Link G4 extreme.,BMW,none,S65B40,V8,none,gasoline,idle,no,yes
-7EwLTKmrRI_18_28.wav,VAZ 21031 engine,"A short video how the 21031 (1,6l) engin runs! Original 71.200 km!",VAZ,21031,21031,inline-4,sedan,gasoline,running,no,yes
-7NYDNeHiM0_30_40.wav,"Mercedes engine om606 start, mechanical pump",3.5L om603 injection pump on om606,Mercedes-Benz,none,OM606,inline-6,none,diesel,running,yes,yes
-7VJJ6kLWfE_21_31.wav,jamie is an engine,,none,none,none,none,none,none,none,none,no
-7htl9sRjcA_30_40.wav,1971 Ford F100 302HO Engine,"1971 Ford F100 with a 302 High Performance Engine
It Is For Sale
Location: (30720) Dalton, GA
Telephone: (706)-581-2261
Call For A Good Price, buyer responsible for shipping.",Ford,F-100,302HO,V8,truck,gasoline,none,no,no
-7jqBdp2pFs_21_31.wav,Jamie is an engine,The Bionic Woman is strong enough to move a locomotive.,none,locomotive,none,none,train,none,none,none,no
-7ki4roF1AY_30_40.wav,Opel Astra H 1.6 Twinport Z16XEP engine,"Knock knoc noise from intake manifold, swirl flaps? EGR? Zvuk klepání z prostoru sacího potrubí, vířivé klapky, EGR?",Opel,Astra H,Z16XEP,inline-4,sedan,gasoline,none,no,yes
-7mKTqOQB_E_11_21.wav,fiat 126 with M3´s engine,tak toto je nas fiat 150 ktory bol plny motoru z emtrojky mal tym padom 400 koni a zrychlenie biedne 4 sekundy :D,Fiat,126,S50B32,inline-6,subcompact car,gasoline,none,no,yes
-7yYtJcdCiU_30_40.wav,crown victoria 5.4 engine cams + long tube second run,,Ford,Crown Victoria,5.4L Triton,V8,sedan,gasoline,accelerating,no,yes
-8A29IUVjNw_11_21.wav,Ford Figo TDCi engine fuel injector noise,Ford Figo TDCi engine fuel injector noise coming after the washer/bush melt off. Noise more audible after 10 seconds of the video.,Ford,Figo,TDCi,inline-4,hatchback,diesel,running,yes,yes
-8eLnOiTevU_30_40.wav,US Airways Express CRJ-200 taxi and engine start,"US Airways Express CRJ-200 (N246PS) as Blue Streak 485 to Newport News, VA (PHF) taxiing out from the gate at Charlotte and starting its number 2 engine. Taken from 9F in March 2009.

Watch in high quality.",Bombardier,CRJ-200,GE CF34-3B1,turbofan,regional jet,jet fuel,running,yes,no
-9C5ok-bafU_21_31.wav,"1998 Chevrolet Caviler Convertible, 2.4L Twin Cam Engine, Auto Trans","This Item is being sold at Auction on www.bid-2-buy.com. Auction Title is ""Used Car Inventory"". It Ends: April 7th, 2010",Chevrolet,Cavalier Convertible,2.4L Twin Cam,inline-4,convertible,gasoline,none,no,yes
-9GFFnns20I_30_40.wav,"Maszyna parowa do modelu statku , silnik parowy- Steam bot engine","moja wizja maszyny parowej do napędu modelu statku...silniczek idealnie sobie radzi z napędem modelu o długości 1,2 metra, większośc elementów z mosiądzu, karter frezowany z aluminium, wał korbowy toczony i frezowany z mosiądzu, osadzony na łożyskach tocznych, obroty prawe-lewe, płynna regulacja obrotów...masz więcej pytań, pisz...",none,none,steam engine,none,model boat,none,running,no,no
-9MvAjVXb7s_20_30.wav,Volvo 850 - Weird Noise from Engine / Serpentine Belt Area,"Weird, varying, high-pitched sound coming from 1995 Volvo 850 T-5R upon cold start.  It's like Sonic Youth is playing in my engine.  The sound disappears after a few minutes.",Volvo,850 T-5R,none,inline-5,sedan,gasoline,cold start,yes,yes
