filename,title,description,brand,model,engine_type,vehicle_type,fuel_type,engine_state,turbo_supercharged
-2PDE7hUArE_30_40.wav,JDM Mitsubishi 4D56-T Auto Diesel Used Engine,We don't just say that! We really start up the engine!!,Mitsubishi,4D56-T,4D56-T,JDM,diesel,running,yes
-75IwDlkzDQ_30_40.wav,volkswagen engine starting,volkswagen engine starting for first time in 5 years,Volkswagen,,,,gasoline,starting,no
-7J4109yM7w_30_40.wav,40-80 Minneapolis pulling 25HP N&S Steam Engine,Just playing with the 40-80 Minneapolis at Dalton Minnesota,Minneapolis,40-80,Steam Engine,Tractor,Coal/Wood (for steam engine),pulling,no
-DNkAalo7og_30_40.wav,"Turbine Jet Engine 50,000 RPM Deutz T-216 100HP SOLD","1960's Deutz T-216 Turbine Engine! Runs on Diesel and has a rating of 100HP @ 50,000 RPM! I'm looking to sell this unit and I'm open to offers. I have all the manuals and parts list for the unit.  Hour meter shows 1 hour!!!",Deutz,T-216,Turbine Jet Engine,Industrial/Aerospace,Diesel,running,no
-GDC7PuqdOM_30_40.wav,First Start of Leyland Engine 4/98,"I have renovate a Leyland 4/98 engine.
And its working great!!!",Leyland,,4/98,,diesel,running,no
-XVgCqsHi3g_30_40.wav,Staggerwing Startup Radial engine R985,This is a cold start after 11 months of no runing of my Beechcraft Staggerwing D17s with the Pratt and Whitney R985 9 cylinder radial engine.,Beechcraft,Staggerwing D17s,Pratt & Whitney R-985 Wasp Junior,biplane,aviation gasoline,running,supercharged
-jBWkHhQNew_30_40.wav,E30 m50 engine swap,"only kat, no rear exhaust

almost ready for driving",BMW,E30,M50,Sedan,Gasoline,off,no
-kRxowDMwdQ_80_90.wav,Brough Superior SS 100 Pendine Racer V-Twin 1000 cc Jap Engine 1929,"Warming up of a...
Brough Superior SS100 Pendine Racer
1000 cc V-Twin Jap Engine 1929
Camera by: Motoring George
Copyrights MGS'09
http://www.victrace.demon.nl
http://dvma.blogspot.com/",Brough Superior,SS100 Pendine Racer,J.A.P. V-Twin 1000cc,motorcycle,gasoline,warming up,no
-mNbbwgUZtQ_140_150.wav,ASP 120 4 STROKE CH IGNITIONS GASOLINE CONVERSION,,ASP,120,4-stroke single-cylinder,RC Plane Engine,Gasoline,running,no
-pBquWuzRwE_30_40.wav,CMD Engine - E' NATO,"E' Nato un NUOVO e TECNOLOGICO MOTORE DIESEL AERONAUTICO completamente ITALIANO
 It's BORN a new and tecnologic aeronautic
diesel motor COMPLETELY MADE IN ITALY",CMD,,diesel aeronautical engine,aircraft,diesel,,
-x2aAKUtNRw_30_40.wav,VW Passat  AFN 110km. TDI cold engine starting -18 C,VW Passat  AFN 110km. TDI cold engine starting -18 C,Volkswagen,Passat,AFN,Sedan,Diesel,starting,yes
02tl_ek8f9I_30_40.wav,1800 Hp Ford GT,"the 1800hp Ford GT built at Performance Power, twin turbo, NOS... Rev'n up... the camera levels all loud sound but u can get a little taste of what it was like.... goal is 300+mph btw...",Ford,GT,V8 twin-turbo,Sports car,Gasoline,revving,yes
0Ed-5hq7AdE_30_40.wav,Rolls Royce Dart 510 Turbo Prop Engine Turning over,"This is a Rolls Royce Dart 510 turbo prop being turned over using a 24 volt battery.
The engine is mounted on a Rolls Royce Spey engine stand and is currently missing a 28volt battery, a cracker box and some more gauges and sensors but will be run up to idle in the near future once we have these.




Dart Mark: 510
Serial No: 12024
Maximum Power output: 1,815 ehp (1,354 kW) (1,630 shp (1,220 kW)) at 15,000 rpm

This Dart was mounted in a Vickers Viscount until it was used to test a Heenan and Froude Dyno up until 1980 and then bought for a few hundred pounds by Roy Millington of Bridgnorth, Shropshire. 



We are unsure of the exact age of this engine but believe it to be 1950's era. If any viewers would like to share any information or knowlege of this engine going off the serial numbers your more than welcome.

This engine will be shown at 'Rally in the Valley' in Bridgnorth in July 11th and 12th 2012.",Rolls Royce,Dart 510,Turbo Prop Engine,Aircraft (formerly Vickers Viscount),Jet Fuel (implied for turbo-prop),off,yes
0QzVs8IBn_E_30_40.wav,Porsche 917 K engine start,Porsche 917 K Engine start at Rennsport Reunion 2011 Laguna Seca,Porsche,917 K,Flat-12,Race car,Gasoline,running,no
0R348vGkjyw_30_40.wav,Jims exploding steam engine,Jim made a steam engine at halley base and it blew up......with only minimal loss of life,,,steam engine,,steam,,no
0XrVauCq9JU_30_40.wav,sherman tank engine,video de la mise en route d un moteur étoile 9 cylindres de la marque continental pour char sherman,Sherman (Continental engine),M4 Sherman,Continental R975 (9-cylinder radial engine),tank,gasoline,running,no
0hipL0SkXMo_40_50.wav,1992 GMC with Built vortec 355,"This is a 1992 GMC 2500 2wd 5 speed. It originally had a 4.3 v-6, but that blew up. Before I owned it, it was used by an older gentleman for a lawn mowing business and only has 116,000 miles on it.

I had a 355 that I built for my camaro, but this truck came along and needed the engine more. 
Here are the engine specs:

2-bolt 350 block from '99 vortec truck bored .030 over

ARP main studs

Windage tray

Scat 9000 series crank

Eagle 5140 forged 6 inch rods

speed pro hypereutectic 2 valve relief flattop pistons with teflon coated skirts and full floating pins. compression is 9.8:1.

clevite bearings

speed pro 1/16 in moly rings

Rotating assembly was balanced 

Vortec heads that were milled to true them

TPIS ZZ9 hydraulic roller cam (212/226 @ .050 .480/.520 lift)

Comp cams beehive springs with titanium retainers

pushrods are new stock replacements

stock stamped self-aligning rocker arms

Edelbrock performer RPM carbureted vortec intake

holley 670 street avenger carb

stock gm hei distributer 

It has shorty headers and a really nice high flowing y-pipe that I made for it. It has a single 3 inch exhaust with a chambered thrush muffler (flomaster sound). It's not super loud, but it does attract attention. The idle has a nice little lope to it and I get a lot of complements on how it sounds. 

It should put out around 375 hp. maybe a little more. with a little more cam it could be well into the 400's

This engine is probably too much for the truck and would be best suited for a muscle car or street rod. It probably only has 5,000 miles on it, if that. Since the break in oil was drained I have only used synthetic oil.

The truck is in good shape for the year. There is NO RUST in the body and the sheet metal is pretty straight. The rear bumper is slightly pushed in and the tailgate is dented, but works fine. Everything is solid. 

The interior has crank windows, manual locks and a rubber floor mat.

The a/c, cruise control and radio do not work.
The transmission is a NV3500. It works well but the 2nd gear syncros are starting to go. I can drive it fine without grinding.

It's a light 2500. It has the beefy drive shaft and 14-bolt rearend but only has the 6-lug flanges. rear gears are 3.42's and of course it's 2wd.

I would like to get $4,000 for the truck as a runner. I know that's kind of high, but it's a pretty bad-a** engine with hardly any miles on it. It would cost me that much just to build another engine like it.

I will also take $850 for the truck minus engine

Hopefully I have answered any questions you may have

here is a youtube link of it running so you can hear it and get a better look than 4 pictures can provide.",GMC,2500,Built Vortec 355 (5.7L Small Block Chevy),Truck,Gasoline,running,no
0ix_rHxU54w_30_40.wav,Double V Stirling Engine,,,,Stirling Engine,,,,no
11Pn3yJifSQ_4_14.wav,PIVOT ENGINE STARTER SWITCH,"PIVOT ENGIN STARTER SWITCH
エンジン始動(スターター)が通常キーON動作後、
プッシュ式で行えます。

エンジン停止中はスイッチがランダムに点滅し防犯に威嚇効果！",,,,,,off,no
1eQSkR2w0R8_380_390.wav,"2,600 PSI Husky pressure washer from the dump",Testing out the free power washer we got from the dump.,Husky,,small engine,pressure washer,gasoline,running,no
1t3Cpx7HYf4_0_10.wav,stock-car moteur r16 sur 4l,,Renault,4L,Renault R16 engine,Stock Car,gasoline,running,no
207W0v5c-Ns_30_40.wav,Volvo Penta 2002 18hp Marine Diesel Engine,Volvo Penta 2002 18hp Twin Cylinder Raw Water Cooled Marine Engine Package.,Volvo Penta,2002,Twin Cylinder Raw Water Cooled Marine Diesel Engine,Marine Engine,diesel,off,no
