frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
21.533203125,-2.4233041646019964,-1.7387235738291804,-1.8257454505607957,-3.665566121743185,-5.405071645920095
32.2998046875,-2.0649505791367044,-1.3483600463893766,-1.4217692833975129,-3.2612904258229922,-4.9630327694089384
43.06640625,-1.7833434751679933,-1.0008521675982989,-1.040456591455746,-2.884701212033833,-4.557416499165144
53.8330078125,-1.4663576391132682,-0.6949564448624013,-0.7205727393863842,-2.540721868403728,-4.1821653181267315
64.599609375,-1.1808001602640597,-0.4132975089170353,-0.40464241021871417,-2.205796782579884,-3.8114331887686963
75.3662109375,-0.8985310807875644,-0.15612444122724067,-0.11895371221123674,-1.798283818127137,-3.3371124616765724
86.1328125,-0.6920380641193097,-0.007884441197627157,-0.007439833873021162,-1.519695616974337,-3.002979972683746
96.8994140625,-0.6362953725476129,0.0,0.0,-1.3761200959939743,-2.7576320929516136
107.666015625,-0.5875753650119536,-0.020033867798771254,-0.05849758852988651,-1.2370990743262962,-2.5602607030285576
118.4326171875,-0.5405937404839758,-0.06747384511225551,-0.10387645740734353,-1.1097146078703513,-2.359345267807089
129.19921875,-0.5111129816134962,-0.07310944670371955,-0.13515844057001025,-0.9352931738490823,-2.095860994913077
139.9658203125,-0.362279091522822,-0.07804220246707849,-0.18303474872674175,-0.7558397851431571,-1.8387244072514781
150.732421875,-0.3080790074570887,-0.08106801479830206,-0.1725497414166195,-0.5353297763545638,-1.473623444700183
161.4990234375,-0.18413063205971386,-0.06567799817572129,-0.2102620071888105,-0.3416102267836135,-1.1815428086397277
172.265625,-0.08966180236482413,-0.06603510106333288,-0.22696025093737682,-0.2061583277656606,-0.9216646983501431
183.0322265625,-0.038344748298968945,-0.13448348686603806,-0.28857569900604507,-0.10596671462307253,-0.7059882353652851
193.798828125,0.0,-0.21337534346419262,-0.3834600209412876,-0.02929417018348701,-0.49020551155018116
204.5654296875,-0.06256882513255424,-0.3510381617860928,-0.5178499232899195,-0.00952898290083351,-0.3323256675440808
215.33203125,-0.12389909216557804,-0.4852996651571979,-0.657427025336592,0.0,-0.1675763603710544
226.0986328125,-0.14259751731341447,-0.683044792569578,-0.8132192388167673,-0.02891614049676597,-0.06642346752214706
236.865234375,-0.280867488205471,-0.887800062846781,-0.9518915433831586,-0.10482196415320996,0.0
247.6318359375,-0.3922217969367692,-1.1225438770062628,-1.129988993252037,-0.2390095340033274,-0.05958262390454827
258.3984375,-0.5895563719726743,-1.397500841452299,-1.325390354677627,-0.395752303001224,-0.1132553978690014
269.1650390625,-0.7893958041887754,-1.656340917882563,-1.5504719103249096,-0.5968860402305453,-0.2759929892584517
279.931640625,-1.0131990427783002,-1.9576238963824077,-1.7732604763374091,-0.8081706182300769,-0.4374484920797515
290.6982421875,-1.2865742416982016,-2.2532546155130384,-2.0274850613139233,-1.0781863143118229,-0.6432928944259257
301.46484375,-1.54030924965457,-2.5863191606939933,-2.2752306361584114,-1.3862062106972615,-0.8814472475420827
312.2314453125,-1.8406564541420884,-2.927784222370334,-2.5863119638040364,-1.7242654570142957,-1.1814167173815453
322.998046875,-2.1747017076009896,-3.2726899789875805,-2.8412725013853652,-2.0979436601911106,-1.5120042345316067
333.7646484375,-2.475267157825934,-3.6133931935952557,-3.1648371521492016,-2.469347311568448,-1.81518102908482
344.53125,-2.7808033919658737,-3.9025404895315603,-3.4656894273363523,-2.840748134863964,-2.1316713727211316
355.2978515625,-3.0694466794211115,-4.207422162350522,-3.722901715391038,-3.208860769791357,-2.436900011197317
366.064453125,-3.3590467892521465,-4.5154120787939895,-3.9920089127805616,-3.5928366540610464,-2.742781172019536
376.8310546875,-3.6411845419362914,-4.796726618356291,-4.236941866310261,-3.983822864240937,-3.073790633254679
387.59765625,-3.8806695111054132,-5.018745591493759,-4.458447892517652,-4.314643299473775,-3.4279112826328713
398.3642578125,-4.097505423400183,-5.258138241642108,-4.672347717274881,-4.614802095954669,-3.7569115553808565
409.130859375,-4.265964810363071,-5.458998222896315,-4.832656794608962,-4.937473375712915,-4.004514966956269
419.8974609375,-4.433110511295517,-5.62102194143749,-5.020627156371292,-5.215386905440521,-4.260275679920352
430.6640625,-4.570544237563218,-5.774935656154112,-5.138856579355782,-5.452822457355998,-4.497979850690089
441.4306640625,-4.665676417398489,-5.921096225842429,-5.305423752373816,-5.653212907310258,-4.678647038074845
452.197265625,-4.725287625566032,-6.032156220034993,-5.439886157278762,-5.8328887952386355,-4.833759798513944
462.9638671875,-4.79028480311697,-6.101163298300946,-5.521223607413683,-5.978966806617581,-4.944017285253243
473.73046875,-4.8270000316532204,-6.17017630415977,-5.598646711238064,-6.067991575127933,-4.9999072444844685
484.4970703125,-4.812068264476642,-6.257225234964442,-5.6888616943734975,-6.148558744266751,-5.048142478415918
