d,c1,c2,theta_rad
5,no,no,6.7015774642093e-16
5,no,yes,0.8552641890064768
5,yes,no,0.8552641890064767
5,yes,yes,5.86346492111296e-16
10,no,no,6.7015774642093e-16
10,no,yes,0.8552641890064768
10,yes,no,0.8552641890064767
10,yes,yes,5.86346492111296e-16
15,no,no,7.008725302893114e-16
15,no,yes,0.3436015513721193
15,yes,no,0.34360155137211923
15,yes,yes,1.1184192549054435e-15
20,no,no,9.759792274163435e-16
20,no,yes,1.0929178806593937e-15
20,yes,no,9.189850256986257e-16
20,yes,yes,8.525405148131906e-16
30,no,no,9.759792274163435e-16
30,no,yes,1.0929178806593937e-15
30,yes,no,9.189850256986257e-16
30,yes,yes,8.525405148131906e-16
40,no,no,9.759792274163435e-16
40,no,yes,1.0929178806593937e-15
40,yes,no,9.189850256986257e-16
40,yes,yes,8.525405148131906e-16
60,no,no,9.759792274163435e-16
60,no,yes,1.0929178806593937e-15
60,yes,no,9.189850256986257e-16
60,yes,yes,8.525405148131906e-16
80,no,no,9.759792274163435e-16
80,no,yes,1.0929178806593937e-15
80,yes,no,9.189850256986257e-16
80,yes,yes,8.525405148131906e-16
100,no,no,9.759792274163435e-16
100,no,yes,1.0929178806593937e-15
100,yes,no,9.189850256986257e-16
100,yes,yes,8.525405148131906e-16
