d,rule,macro_f1,acc
5,residual_normed,0.5172079030310911,0.5176184690157959
5,proj_energy,0.4380342890925214,0.43863912515188336
10,residual_normed,0.5172079030310911,0.5176184690157959
10,proj_energy,0.4380342890925214,0.43863912515188336
15,residual_normed,0.49567280786853485,0.4957472660996355
15,proj_energy,0.4396424019271186,0.4398541919805589
20,residual_normed,0.5031837960409389,0.5212636695018226
20,proj_energy,0.44077120336559483,0.44106925880923453
30,residual_normed,0.5031837960409389,0.5212636695018226
30,proj_energy,0.44077120336559483,0.44106925880923453
40,residual_normed,0.5031837960409389,0.5212636695018226
40,proj_energy,0.44077120336559483,0.44106925880923453
60,residual_normed,0.5031837960409389,0.5212636695018226
60,proj_energy,0.44077120336559483,0.44106925880923453
80,residual_normed,0.5031837960409389,0.5212636695018226
80,proj_energy,0.44077120336559483,0.44106925880923453
100,residual_normed,0.5031837960409389,0.5212636695018226
100,proj_energy,0.44077120336559483,0.44106925880923453
